,1,a,bb,a^2,a bb,bb^2,a^3,a^2 bb,a bb^2,bb^3,a^4,a^3 bb,a^2 bb^2,a bb^3,bb^4
400.0,-2.5320478942799616,-1.3761793474359025,1.291699016089811,0.07730763143545112,-0.1544061733542814,0.005561324013164804,-0.004789706119496865,0.0229588493002071,-0.01950907043641119,-0.012591446923350888,-0.00029354745153681305,-0.0009097141580526602,0.0016460484909330275,-0.0007431691381508676,-0.0005506936703698617
412.5,-2.577026100120824,-1.3440322698896041,1.2570573572389847,0.07155104789154967,-0.1353615415219809,-0.0008825861799676791,-0.004502705619228664,0.020640840732349404,-0.015980153989660184,-0.011881415164819997,-0.0004015497488081554,-0.0008458204568259353,0.001449485534679995,-0.0005378685843274722,-0.0004474097728091042
442.5,-2.7060176125465416,-1.2321612156141295,1.1518000700786584,0.04503729071281722,-0.06779166994653942,-0.024094606626114283,-0.002420569256356378,0.010798553869578606,-0.0029419717837414344,-0.011654100167674292,-0.0008508962334150549,-0.0004668554502560984,0.0005944689669670766,0.0002502052438665414,-0.00029836797940918647
490.0,-2.901761533309971,-1.0132922775122248,0.9699608733360575,-0.02464585034874367,0.08380836558197186,-0.07480061587474923,0.0056637344060039355,-0.0144062833444656,0.02956916597658664,-0.015329115278428604,-0.0011510418731785488,0.0006929764847498077,-0.0017643863056062137,0.002404840183895862,-0.000373577696290206
510.0,-2.9637522896716435,-0.9471834801071787,0.9309504547897544,-0.0490050506851267,0.13246345071473892,-0.0865703915979576,0.017991711032004802,-0.02123926845937979,0.041008599736983294,-0.016438136427723446,0.0002443384593014686,0.001056706113230721,-0.0024016406024608417,0.0032232000497509627,-0.000435939440910027
560.0,-3.0591021201029562,-0.7771484672293539,0.8234657658591167,-0.072775705395645,0.23844835928836375,-0.13563473892402383,0.03129323129045851,-0.030485768088560974,0.06523377357541055,-0.02455109541567578,0.0023176474977529837,0.0007391376984363651,-0.0029609567289585192,0.004885667280741635,-0.000979192452350952
620.0,-3.3016348789711962,-0.7990214519647032,0.7257206265131627,-0.2037325329595808,0.11789594303756949,-0.18191401868614523,-0.01808313214793935,-0.0011229893606326605,0.026993625449286025,-0.03142269471096503,-0.000735199962276889,0.00036210105912110047,-0.0002883671438531077,0.0018480845792412381,-0.0013916967355195875
665.0,-3.408246845646106,-0.7374097542388072,0.7640386438605412,-0.19387101354506414,0.05572023172859618,-0.15344422969331067,-0.021069412097600344,0.001045906413215919,0.012452167190244591,-0.025623242436422715,-0.0008242574994661578,-1.2749726984173648e-05,0.00014720907213222612,0.0007916217597231379,-0.001077665049133869
673.75,-3.4106116197951284,-0.726951211620368,0.7800698230932255,-0.1929584823580255,0.05784847907666289,-0.14859705814747276,-0.020336622382933264,-0.0006800087518486278,0.01449060062936576,-0.025513820550780553,-0.0008256144431651735,9.377856479497737e-05,-8.642793334551202e-05,0.0010267183193990448,-0.0011237835545932495
681.25,-3.4291535623100504,-0.7179450265094449,0.780565872872874,-0.19072451208174232,0.048473030751383005,-0.14587151997452721,-0.02056679334195449,-0.0005810073982722846,0.012221689585236152,-0.02477482060449266,-0.0008184416939648331,-9.785859976296774e-06,3.7182537260260773e-06,0.0008409562366917256,-0.0010749605934348705
708.75,-3.492356819844635,-0.46475102911121124,0.8799208237521803,-0.09015760269162812,-0.042365072000038806,-0.06840557640203093,-0.007513632967933094,-0.0036141334484971407,-0.005565610395153776,-0.00914414901064544,-0.00019576686555333733,-0.00021830483396020894,-2.7350970232292715e-05,-0.0003564377742184821,-0.00011248693431084589
