,1,a,b,a^2,a b,b^2,a^3,a^2 b,a b^2,b^3,a^4,a^3 b,a^2 b^2,a b^3,b^4
400.0,-7.156722206470976,-1.0124129446418806,0.7248797663737057,0.008226429781798765,-0.03035562191002279,0.11167892955210462,-0.0006789882645225019,0.011550335610752105,-0.00915195090488032,-0.003111750714817567,-0.0009954269130241417,-6.423957382174071e-05,0.0019420642201866828,-0.0004519161215842995,-0.0011103417633118503
412.5,-7.190264365743337,-1.0159139067005525,0.752383276383606,0.00968972600636596,-0.03181033192787708,0.10905523209724767,-0.00193243898381196,0.01079843486352606,-0.007503800986079409,-0.0043040255468403624,-0.001158802605997068,0.00036447611165681023,0.0011195654427323635,0.0003223479394034917,-0.001183668769502923
442.5,-7.2618521137715,-1.015199524094141,0.80937684548642,0.011119405474827213,-0.037310937874092565,0.10297201788597785,-0.0022642602755157536,0.008381850327778221,-0.004574224299612244,-0.0062108329274058165,-0.001767778785993062,0.0016107175124728515,-0.0014053944819467689,0.002444273222037719,-0.0014082886567342086
490.0,-7.340775940710792,-0.9807079448225244,0.8629327340680847,0.044438156946935835,-0.0692507215245022,0.098949235468774,0.013386682119575303,-0.0025417068220262434,-0.0023576411742803273,-0.005839318864372796,-0.0005355112243460826,0.0025234634737422855,-0.006084407074615808,0.0069532021737011614,-0.0022325126489396194
510.0,-7.377530755028434,-0.9346091788701241,0.8790252111896728,0.07465768361681668,-0.07593057360813157,0.09793816407505755,0.03484114388980262,-0.006412550826215746,-1.4886889548742278e-05,-0.005606056997414912,0.0020103935825155853,0.0018379335070278758,-0.00555764068325403,0.007304358641986354,-0.0024420246005008835
560.0,-7.663580307073988,-1.2266953555433406,1.006431792071182,-0.10368227198727688,0.004027403006469939,0.09500420021884608,0.007142983928277597,0.011275954453397989,0.010258219966829882,-0.007410266083429412,0.0008247579730741206,0.0021627909409061073,-0.002382159127140789,0.006231773878679308,-0.00250474226588715
620.0,-7.529730837758038,-0.7856900537367951,1.0123479453326403,-0.152496163267453,-0.0066370879155231615,0.06339330593315072,-0.012410414812803028,-0.00018034445354553558,0.004410033971329964,-0.011600864314174045,-0.0003384122301582569,-1.358516998721474e-05,0.0005031126503097954,0.0003097598939380223,-0.00101429097575012
665.0,-7.728192997397954,-0.6982520879138091,0.8459964850857924,-0.15146674635165566,-0.1332548490500208,0.1016225879627528,-0.013341729258155204,-0.03160356827803277,0.022107800972317848,-0.009618755990872868,-0.00032469947366919346,-0.002561797561550195,0.0023416956537728735,0.00045809894952006874,-0.0013727854393491873
673.75,-7.763402567863594,-0.7081973741391234,0.8375545725556475,-0.1601606791226978,-0.14179148434843722,0.11227977688065822,-0.015505868588598955,-0.03380678486370003,0.028654974701714374,-0.011619897267837923,-0.00050136337209166,-0.002738699960047919,0.003242173735984616,-0.00018369313528265164,-0.0012378010506137612
681.25,-7.76300214621161,-0.6740462966774228,0.8236803525708918,-0.15237629420010115,-0.1505997919460134,0.11436104288925185,-0.014624943789873392,-0.03566012778319821,0.02977774685963361,-0.011992218304196197,-0.00045800668695360956,-0.0028571000371469123,0.003355902810379766,-0.00039537448451961316,-0.0011641078761319644
708.75,-8.708456096190918,-0.9127408249449439,0.8869240190170011,-0.18540033989052296,-0.1397316226076152,0.09351839819231542,-0.012879712146726691,-0.041397780657298495,0.032416035300511854,-0.016427003916413153,-6.625972102950181e-05,-0.0036480346600000083,0.0043117947519896,-0.002941844181756073,0.0009564425673897221
